t,c,ch,h,l,mv,ra,se,va,vo
041143,1038.97,-11.1,1038.97,1038.97,23900,-1.06,1153,1510386000000,66599600
041138,1039.04,-11.03,1039.04,1039.04,10600,-1.05,1152,1509881000000,66575700
041133,1039.08,-10.99,1039.08,1039.08,166000,-1.05,1151,1509676000000,66565100
041128,1039.0,-11.07,1039.0,1039.0,48500,-1.05,1150,1505697000000,66399100
041243,1038.23,-11.84,1038.23,1038.23,19300,-1.13,1165,1533295000000,67570000
041238,1038.51,-11.56,1038.51,1038.51,31400,-1.1,1164,1532880000000,67550700
041233,1038.42,-11.65,1038.42,1038.42,37400,-1.11,1163,1532112000000,67519300
041228,1038.27,-11.8,1038.27,1038.27,242400,-1.12,1162,1531123000000,67481900
041223,1038.42,-11.65,1038.42,1038.42,90700,-1.11,1161,1525296000000,67239500
041218,1038.55,-11.52,1038.55,1038.55,23900,-1.1,1160,1523274000000,67148800
041213,1038.73,-11.34,1038.73,1038.73,26400,-1.08,1159,1522652000000,67124900
041208,1038.73,-11.34,1038.73,1038.73,136900,-1.08,1158,1522129000000,67098500
041318,1037.98,-12.09,1037.98,1037.98,72200,-1.15,1172,1548825000000,68203700
041313,1037.78,-12.29,1037.78,1037.78,160100,-1.17,1171,1547084000000,68131500
041308,1037.78,-12.29,1037.78,1037.78,165900,-1.17,1170,1542740000000,67971400
041303,1037.84,-12.23,1037.84,1037.84,144600,-1.16,1169,1538723000000,67805500
041258,1038.18,-11.89,1038.18,1038.18,19900,-1.13,1168,1535350000000,67660900
041253,1037.93,-12.14,1037.93,1037.93,41200,-1.16,1167,1534965000000,67641000
041248,1037.85,-12.22,1037.85,1037.85,29800,-1.16,1166,1533921000000,67599800
041358,1037.98,-12.09,1037.98,1037.98,67700,-1.15,1180,1557824000000,68569800
041353,1038.13,-11.94,1038.13,1038.13,32800,-1.14,1179,1556254000000,68502100
041348,1037.65,-12.42,1037.65,1037.65,106100,-1.18,1178,1555366000000,68469300
041343,1038.07,-12.0,1038.07,1038.07,63300,-1.14,1177,1553395000000,68363200
041338,1037.99,-12.08,1037.99,1037.99,34000,-1.15,1176,1551182000000,68299900
041333,1038.05,-12.02,1038.05,1038.05,17800,-1.14,1175,1550414000000,68265900
041328,1037.98,-12.09,1037.98,1037.98,28500,-1.15,1174,1549983000000,68248100
041323,1037.88,-12.19,1037.88,1037.88,15900,-1.16,1173,1549189000000,68219600
041433,1037.74,-12.33,1037.74,1037.74,291600,-1.17,1187,1572062000000,69274300
041428,1037.73,-12.34,1037.73,1037.73,32100,-1.18,1186,1566240000000,68982700
041423,1037.94,-12.13,1037.94,1037.94,188000,-1.16,1185,1565504000000,68950600
041418,1037.64,-12.43,1037.64,1037.64,23300,-1.18,1184,1562646000000,68762600
041413,1037.91,-12.16,1037.91,1037.91,19500,-1.16,1183,1561847000000,68739300
041408,1037.87,-12.2,1037.87,1037.87,67900,-1.16,1182,1561304000000,68719800
041403,1037.87,-12.2,1037.87,1037.87,82100,-1.16,1181,1559702000000,68651900
041513,1037.67,-12.4,1037.67,1037.67,64100,-1.18,1195,1586361000000,69946500
041508,1037.66,-12.41,1037.66,1037.66,48900,-1.18,1194,1585568000000,69882400
041503,1037.77,-12.3,1037.77,1037.77,134500,-1.17,1193,1584551000000,69833500
041458,1037.9,-12.17,1037.9,1037.9,205700,-1.16,1192,1581633000000,69699000
041453,1037.61,-12.46,1037.61,1037.61,49100,-1.19,1191,1577640000000,69493300
041448,1037.52,-12.55,1037.52,1037.52,19400,-1.2,1190,1576556000000,69444200
041443,1037.8,-12.27,1037.8,1037.8,16800,-1.17,1189,1576143000000,69424800
041438,1037.74,-12.33,1037.74,1037.74,133700,-1.17,1188,1575630000000,69408000
041548,1037.0,-13.07,1037.0,1037.0,199900,-1.24,1202,1615125000000,71161600
041543,1037.15,-12.92,1037.15,1037.15,90700,-1.23,1201,1610047000000,70961700
041538,1037.09,-12.98,1037.09,1037.09,342400,-1.24,1200,1608138000000,70871000
041533,1036.98,-13.09,1036.98,1036.98,86000,-1.25,1199,1600065000000,70528600
041528,1037.33,-12.74,1037.33,1037.33,66200,-1.21,1198,1598320000000,70442600
041523,1037.43,-12.64,1037.43,1037.43,122500,-1.2,1197,1596363000000,70376400
041518,1037.46,-12.61,1037.46,1037.46,307400,-1.2,1196,1593538000000,70253900
